INVOICED_AMOUNT,FISCAL_QUARTER,PRODUCT_CATEGORY,SUPPLIER_NAME,IS_PREFERRED_SUPPLIER,CHANNEL,IS_CATALOG
39.8,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris,No,Pcard,yes
332.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris  S.A.,Yes,PO,no
64.57,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris Coiled Tubes Llc,No,Pcard,yes
938.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,Ebuy,yes
561.27,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,PO,yes
332.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Timken Group,No,Ebuy,no
297.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Tubos De Acero De Mexico Sa,No,Pcard,no
30.45,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Valu Merchandisers Company,Yes,PO,yes
10.87,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Ventura International Ltd,No,Pcard,no
11.1,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Walgreen Company,No,Ebuy,yes
265.0,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Wise Consumer Products,Yes,Pcard,no
19.43,Q1 FY2014,ELECTRONIC COMPONENTS AND SUPPLIES,Wockhardt Limited,Yes,PO,yes
19.46,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Ab7 Industries,Yes,Ebuy,yes
25.3,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Akorn  Inc.,No,PO,yes
15.4,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Alk-Abello  Inc.,Yes,PO,yes
4.24,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Avpak,No,Ebuy,yes
29.75,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Avpak,No,Pcard,yes
495.0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,C.D.M.A.  Inc,No,PO,no
63.93,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Ebuy,no
47.9,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Ebuy,yes
162.12,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,PO,no
341.77000000000004,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Pcard,no
37.4,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Cephalon  Inc.,Yes,Pcard,yes
450.75,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Darron Tool & Eng Sbo,No,Ebuy,yes
17.0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Darron Tool & Eng Sbo,No,PO,yes
0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Depomed  Inc.,No,PO,no
39.8,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Elizabeth Arden  Inc,Yes,Ebuy,yes
58.28,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Elizabeth Arden  Inc,Yes,PO,yes
36.07,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Godwin-Sbo  Lp,No,PO,yes
16.74,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Heel Inc,No,PO,no
17.5,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Henry Schein  Inc.,No,PO,no
17.51,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Hospira  Inc.,No,Ebuy,no
99.82,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Jeun Cell Ltd,No,Ebuy,yes
36.07,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Knust Sbs,No,Ebuy,yes
415.93,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Knust Sbs,No,Pcard,no
32.8,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Kroger Company,No,Ebuy,yes
5.2,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,Ebuy,no
2706.79,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,Ebuy,yes
493.93,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,PO,no
99.0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Matrixx Initiatives  Inc.,No,PO,yes
205.0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Panda Express,Yes,PO,yes
179.55,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Panrosa Enterprises  Inc.,Yes,Pcard,no
32.8,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Pliva Inc.,No,Ebuy,yes
49.05,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Pliva Inc.,No,PO,no
125.35999999999999,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Ebuy,no
244.36999999999998,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Sandoz Inc,No,Pcard,no
15.4,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Sb Darron Pte Ltd,No,Ebuy,no
29.19,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Sb Darron Pte Ltd,No,Pcard,no
16.48,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Shiseido Co.  Ltd.,No,Pcard,no
17.0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Sj Creations  Inc.,Yes,Pcard,yes
330.0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Ebuy,no
254.56,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Ebuy,yes
330.0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,PO,no
447.61,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,PO,yes
13.9,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Pcard,no
276.78,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Skinfix  Inc.,Yes,Pcard,yes
131.36,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Starbucks,Yes,Pcard,no
15.4,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Tenaris  S.A.,Yes,Ebuy,no
48.84,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Tenaris Coiled Tubes Llc,No,PO,no
38.51,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,Ebuy,no
3.8,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,PO,no
295.1,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,PO,yes
188.51,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Thefaceshop Co.  Ltd,No,Pcard,no
15.4,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Timken Group,No,Ebuy,no
699.0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Timken Group,No,PO,no
48.61,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Tubos De Acero De Mexico Sa,No,Pcard,no
8.36,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Valu Merchandisers Company,Yes,PO,yes
99.0,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Ventura International Ltd,No,Pcard,yes
172.69,Q1 FY2014,IT/IS AND TELECOMMUNICATIONS,Wise Consumer Products,Yes,Ebuy,no
238.84,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Ab7 Industries,Yes,Ebuy,no
15.4,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Best Buy ,Yes,PO,yes
36.06,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Cephalon  Inc.,Yes,Ebuy,no
45.0,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Fenwal  Inc.,No,Ebuy,no
165.0,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,H.J. Harkins Company  Inc.,No,PO,no
15.4,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Hampton Inn & Suites,No,PO,yes
263.22,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Hampton Inn & Suites,No,Pcard,no
91.67,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Johnny Rockets,No,Pcard,no
4.24,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,King Bio Inc.,No,PO,yes
15.4,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Mckesson,Yes,Pcard,yes
265.0,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Pliva Inc.,No,PO,no
8.0,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Prime Packaging  Inc.,No,PO,yes
15.4,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Quiznos,Yes,Ebuy,yes
8.34,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Quiznos,Yes,PO,no
45.0,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Rite Aid Corporation,No,PO,no
123.6,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Sandoz Inc,No,Ebuy,no
18.5,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Sandoz Inc,No,PO,yes
3.6,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Sandoz Inc,No,Pcard,no
12.0,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Skinfix  Inc.,Yes,Ebuy,no
13.9,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Skinfix  Inc.,Yes,Pcard,no
8.0,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Thefaceshop Co.  Ltd,No,Ebuy,yes
223.5,Q1 FY2014,MANUFACTURING COMPONENTS AND SUPPLIERS,Thefaceshop Co.  Ltd,No,Pcard,no
17.51,Q1 FY2014,OUTSOURCED SERVICES,Avkare  Inc.,No,Pcard,no
17.53,Q1 FY2014,OUTSOURCED SERVICES,C.D.M.A.  Inc,No,Ebuy,no
35.07,Q1 FY2014,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,Ebuy,no
198.0,Q1 FY2014,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,PO,no
17.34,Q1 FY2014,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,PO,yes
219.63,Q1 FY2014,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,Pcard,no
15.4,Q1 FY2014,OUTSOURCED SERVICES,Cephalon  Inc.,Yes,Pcard,yes
17.53,Q1 FY2014,OUTSOURCED SERVICES,Henry Schein  Inc.,No,Ebuy,no
15.4,Q1 FY2014,OUTSOURCED SERVICES,Hospira  Inc.,No,Pcard,yes
100.0,Q1 FY2014,OUTSOURCED SERVICES,Johnny Rockets,No,Ebuy,no
231.25,Q1 FY2014,OUTSOURCED SERVICES,King Bio Inc.,No,PO,no
36.33,Q1 FY2014,OUTSOURCED SERVICES,Kroger Company,No,Pcard,yes
17.51,Q1 FY2014,OUTSOURCED SERVICES,Mary Kay Inc.,No,Pcard,no
187.5,Q1 FY2014,OUTSOURCED SERVICES,Sandoz Inc,No,Ebuy,no
210.0,Q1 FY2014,OUTSOURCED SERVICES,Sandoz Inc,No,PO,no
18.99,Q1 FY2014,OUTSOURCED SERVICES,Skinfix  Inc.,Yes,Pcard,yes
115.82,Q1 FY2014,OUTSOURCED SERVICES,Tenaris,No,Pcard,yes
1040.0,Q1 FY2014,OUTSOURCED SERVICES,Tenaris  S.A.,Yes,Ebuy,yes
115.82,Q1 FY2014,OUTSOURCED SERVICES,Tenaris Coiled Tubes Llc,No,PO,yes
150.0,Q1 FY2014,OUTSOURCED SERVICES,Thefaceshop Co.  Ltd,No,PO,no
210.0,Q1 FY2015,Asset,Avpak,No,Pcard,no
20.9,Q1 FY2015,Asset,Cephalon  Inc.,Yes,Ebuy,no
30.66,Q1 FY2015,Asset,Cephalon  Inc.,Yes,Pcard,no
238.84,Q1 FY2015,Asset,Depomed  Inc.,No,Ebuy,yes
9.88,Q1 FY2015,Asset,Henry Schein  Inc.,No,PO,yes
324.0,Q1 FY2015,Asset,Jeun Cell Ltd,No,Ebuy,yes
7.7,Q1 FY2015,Asset,King Bio Inc.,No,Pcard,no
36.07,Q1 FY2015,Asset,Rimmel Inc.,No,Ebuy,yes
1113.28,Q1 FY2015,Asset,Rite Aid Corporation,No,Pcard,no
451.13,Q1 FY2015,Asset,Safeway,Yes,Ebuy,no
249.0,Q1 FY2015,Asset,Sandoz Inc,No,PO,no
16.4,Q1 FY2015,Asset,Schoeller Bleckmann Inc,No,PO,yes
504.75,Q1 FY2015,Asset,Skinfix  Inc.,Yes,Pcard,no
16.4,Q1 FY2015,Asset,Tenaris,No,Pcard,yes
7.7,Q1 FY2015,Asset,Thefaceshop Co.  Ltd,No,PO,no
305.0,Q1 FY2015,Asset,Valu Merchandisers Company,Yes,PO,yes
7.7,Q1 FY2015,Asset,Ventura International Ltd,No,Ebuy,no
17.51,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Ab7 Industries,Yes,PO,no
16.07,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Akorn  Inc.,No,Pcard,yes
447.64,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Alk-Abello  Inc.,Yes,PO,no
6.6,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Alk-Abello  Inc.,Yes,PO,yes
15.4,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Avkare  Inc.,No,Ebuy,no
20.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Avkare  Inc.,No,Pcard,yes
293.19,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Avpak,No,Ebuy,yes
145.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Best Buy ,Yes,PO,yes
238.84,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,C.D.M.A.  Inc,No,PO,no
15.4,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Ebuy,no
312.7,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Ebuy,yes
81.19,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,PO,no
55.99,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,PO,yes
83.6,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Pcard,no
55.99,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Cephalon  Inc.,Yes,Pcard,yes
52.72,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Chattem  Inc.,No,Ebuy,no
205.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Darron Tool & Eng Sbo,No,Ebuy,yes
8.27,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Deb Usa  Inc.,No,Ebuy,yes
1174.93,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Elizabeth Arden  Inc,Yes,Ebuy,no
238.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Godwin-Sbo  Lp,No,PO,no
53.36,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,H.J. Harkins Company  Inc.,No,Pcard,no
145.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Hampton Inn & Suites,No,PO,yes
369.3,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Jeun Cell Ltd,No,Ebuy,no
15.4,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Johnny Rockets,No,PO,no
238.84,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,King Bio Inc.,No,PO,no
238.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Knust Sbs,No,PO,no
39.8,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Kroger Company,No,Pcard,no
535.68,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Ebuy,no
37.4,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Ebuy,yes
535.68,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,PO,no
15.4,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Pcard,no
37.4,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Matrixx Initiatives  Inc.,No,Pcard,yes
4.9,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Merck Sharp & Dohme Corp.,No,PO,yes
36.07,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Panda Express,Yes,Pcard,yes
17.51,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Pliva Inc.,No,PO,no
15.4,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Quiznos,Yes,Pcard,no
11.81,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Revamp International Pte. Ltd.,Yes,PO,yes
21.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Safeway,Yes,Ebuy,yes
497.11999999999995,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Ebuy,no
45.38,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sandoz Inc,No,Pcard,no
149.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sb Darron Pte Ltd,No,Pcard,no
7.02,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sbot,No,Ebuy,no
149.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sbot,No,Pcard,no
179.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Schoeller Bleckmann Inc,No,Ebuy,no
53.02,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Schoeller Bleckmann Inc,No,Ebuy,yes
205.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Sj Creations  Inc.,Yes,PO,yes
716.64,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,Ebuy,yes
263.23,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,PO,yes
68.04,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Skinfix  Inc.,Yes,Pcard,yes
245.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris,No,Pcard,yes
113.75,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris  S.A.,Yes,Ebuy,no
245.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tenaris Coiled Tubes Llc,No,Pcard,yes
25.5,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,Ebuy,no
131.32,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,PO,no
124.5,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Thefaceshop Co.  Ltd,No,Pcard,no
24.87,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Timken Group,No,PO,no
8.0,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tonymoly Co.  Ltd.,No,Ebuy,yes
36.8,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tonymoly Co.  Ltd.,No,PO,no
11.84,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Tubos De Acero De Mexico Sa,No,Pcard,no
17.51,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Valu Merchandisers Company,Yes,Ebuy,no
53.84,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Ventura International Ltd,No,Pcard,no
293.19,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Walgreen Co.,No,PO,yes
10.87,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Walgreen Company,No,Ebuy,yes
17.51,Q1 FY2015,ELECTRONIC COMPONENTS AND SUPPLIES,Wise Consumer Products,Yes,Ebuy,no
